date,block,block_start,direction,psr_type,price_eur_mw,volume_mw
2025-11-07,0,00:00,down,mixed,5.13,175
2025-11-07,1,04:00,down,mixed,0.37,140
2025-11-07,2,08:00,down,mixed,0.76,120
2025-11-07,3,12:00,down,mixed,0.28,120
2025-11-07,4,16:00,down,mixed,0.6,120
2025-11-07,5,20:00,down,mixed,1.96,135
2025-11-08,0,00:00,down,mixed,4.72,175
2025-11-08,1,04:00,down,mixed,0.41,140
2025-11-08,2,08:00,down,mixed,0.68,120
2025-11-08,3,12:00,down,mixed,0.34,120
2025-11-08,4,16:00,down,mixed,0.52,120
2025-11-08,5,20:00,down,mixed,1.72,155
2025-11-08,0,00:00,up,mixed,2.34,104
2025-11-08,1,04:00,up,mixed,7.08,105
2025-11-08,2,08:00,up,mixed,3.79,104
2025-11-08,3,12:00,up,mixed,17.3,83
2025-11-08,4,16:00,up,mixed,30.45,104
2025-11-08,5,20:00,up,mixed,4.66,105
2025-11-09,0,00:00,up,mixed,2.35,104
2025-11-09,1,04:00,up,mixed,6.71,104
2025-11-09,2,08:00,up,mixed,3.36,104
2025-11-09,3,12:00,up,mixed,13.2,74
2025-11-09,4,16:00,up,mixed,25.78,74
2025-11-09,5,20:00,up,mixed,5.17,103
2025-11-09,0,00:00,down,mixed,3.98,140
2025-11-09,1,04:00,down,mixed,0.38,140
2025-11-09,2,08:00,down,mixed,0.61,140
2025-11-09,3,12:00,down,mixed,0.31,120
2025-11-09,4,16:00,down,mixed,0.43,120
2025-11-09,5,20:00,down,mixed,1.46,120
2025-11-10,0,00:00,up,mixed,2.23,104
2025-11-10,1,04:00,up,mixed,8.05,127
2025-11-10,2,08:00,up,mixed,3.17,104
2025-11-10,3,12:00,up,mixed,13.52,131
2025-11-10,4,16:00,up,mixed,29.54,77
2025-11-10,5,20:00,up,mixed,5.68,124
2025-11-10,0,00:00,down,mixed,3.32,140
2025-11-10,1,04:00,down,mixed,0.37,140
2025-11-10,2,08:00,down,mixed,0.54,140
2025-11-10,3,12:00,down,mixed,0.34,140
2025-11-10,4,16:00,down,mixed,0.32,125
2025-11-10,5,20:00,down,mixed,1.16,155
2025-11-11,0,00:00,up,mixed,1.95,104
2025-11-11,1,04:00,up,mixed,8.33,129
2025-11-11,2,08:00,up,mixed,2.89,104
2025-11-11,3,12:00,up,mixed,15.18,139
2025-11-11,4,16:00,up,mixed,33.2,148
2025-11-11,5,20:00,up,mixed,5.94,124
2025-11-11,0,00:00,down,mixed,2.9,170
2025-11-11,1,04:00,down,mixed,0.38,120
2025-11-11,2,08:00,down,mixed,0.47,120
2025-11-11,3,12:00,down,mixed,0.37,140
2025-11-11,4,16:00,down,mixed,0.27,145
2025-11-11,5,20:00,down,mixed,0.94,155
2025-11-12,0,00:00,down,mixed,2.62,185
2025-11-12,1,04:00,down,mixed,0.34,140
2025-11-12,2,08:00,down,mixed,0.38,120
2025-11-12,3,12:00,down,mixed,0.35,120
2025-11-12,4,16:00,down,mixed,0.2,130
2025-11-12,5,20:00,down,mixed,0.81,135
2025-11-12,0,00:00,up,mixed,1.66,104
2025-11-12,1,04:00,up,mixed,7.94,129
2025-11-12,2,08:00,up,mixed,2.53,104
2025-11-12,3,12:00,up,mixed,14.88,164
2025-11-12,4,16:00,up,mixed,30.26,116
2025-11-12,5,20:00,up,mixed,5.78,124
2025-11-13,0,00:00,up,mixed,1.27,104
2025-11-13,1,04:00,up,mixed,7.11,129
2025-11-13,2,08:00,up,mixed,1.96,104
2025-11-13,3,12:00,up,mixed,13.29,169
2025-11-13,4,16:00,up,mixed,25.74,140
2025-11-13,5,20:00,up,mixed,5.3,124
2025-11-13,0,00:00,down,mixed,2.28,195
2025-11-13,1,04:00,down,mixed,0.29,125
2025-11-13,2,08:00,down,mixed,0.3,125
2025-11-13,3,12:00,down,mixed,0.29,120
2025-11-13,4,16:00,down,mixed,0.16,140
2025-11-13,5,20:00,down,mixed,0.65,160
2025-11-14,0,00:00,up,mixed,1.02,104
2025-11-14,1,04:00,up,mixed,6.7,129
2025-11-14,2,08:00,up,mixed,1.67,104
2025-11-14,3,12:00,up,mixed,12.51,139
2025-11-14,4,16:00,up,mixed,23.37,88
2025-11-14,5,20:00,up,mixed,4.83,129
2025-11-14,0,00:00,down,mixed,2.04,190
2025-11-14,1,04:00,down,mixed,0.21,140
2025-11-14,2,08:00,down,mixed,0.23,130
2025-11-14,3,12:00,down,mixed,0.24,120
2025-11-14,4,16:00,down,mixed,0.12,140
2025-11-14,5,20:00,down,mixed,0.54,150
2025-11-15,0,00:00,up,mixed,0.88,104
2025-11-15,1,04:00,up,mixed,6.37,132
2025-11-15,2,08:00,up,mixed,1.48,104
2025-11-15,3,12:00,up,mixed,11.55,144
2025-11-15,4,16:00,up,mixed,19.6,74
2025-11-15,5,20:00,up,mixed,4.51,116
2025-11-15,0,00:00,down,mixed,1.84,180
2025-11-15,1,04:00,down,mixed,0.16,120
2025-11-15,2,08:00,down,mixed,0.17,125
2025-11-15,3,12:00,down,mixed,0.18,140
2025-11-15,4,16:00,down,mixed,0.12,130
2025-11-15,5,20:00,down,mixed,0.41,140
2025-11-16,0,00:00,up,mixed,0.74,104
2025-11-16,1,04:00,up,mixed,5.68,74
2025-11-16,2,08:00,up,mixed,1.35,119
2025-11-16,3,12:00,up,mixed,9.35,74
2025-11-16,4,16:00,up,mixed,16.47,83
2025-11-16,5,20:00,up,mixed,4.06,114
2025-11-16,0,00:00,down,mixed,1.69,195
2025-11-16,1,04:00,down,mixed,0.14,140
2025-11-16,2,08:00,down,mixed,0.15,145
2025-11-16,3,12:00,down,mixed,0.15,140
2025-11-16,4,16:00,down,mixed,0.1,155
2025-11-16,5,20:00,down,mixed,0.35,140
2025-11-17,0,00:00,up,mixed,0.65,104
2025-11-17,1,04:00,up,mixed,6.18,122
2025-11-17,2,08:00,up,mixed,6.24,129
2025-11-17,3,12:00,up,mixed,13.03,135
2025-11-17,4,16:00,up,mixed,17.43,74
2025-11-17,5,20:00,up,mixed,4.63,121
2025-11-17,0,00:00,down,mixed,1.59,205
2025-11-17,1,04:00,down,mixed,0.11,140
2025-11-17,2,08:00,down,mixed,0.12,140
2025-11-17,4,16:00,down,mixed,0.09,150
2025-11-17,5,20:00,down,mixed,0.27,120
2025-11-18,0,00:00,up,mixed,0.61,104
2025-11-18,1,04:00,up,mixed,6.3,122
2025-11-18,2,08:00,up,mixed,11.8,125
2025-11-18,3,12:00,up,mixed,13.23,127
2025-11-18,4,16:00,up,mixed,17.89,124
2025-11-18,5,20:00,up,mixed,4.8,124
2025-11-18,0,00:00,down,mixed,1.49,195
2025-11-18,1,04:00,down,mixed,0.1,140
2025-11-18,4,16:00,down,mixed,0.08,150
2025-11-18,5,20:00,down,mixed,0.2,120
2025-11-19,0,00:00,up,mixed,0.57,104
2025-11-19,1,04:00,up,mixed,6.3,128
2025-11-19,2,08:00,up,mixed,13.52,120
2025-11-19,3,12:00,up,mixed,13.26,107
2025-11-19,4,16:00,up,mixed,18.51,119
2025-11-19,5,20:00,up,mixed,4.7,128
2025-11-19,0,00:00,down,mixed,1.39,195
2025-11-19,1,04:00,down,mixed,0.08,120
2025-11-19,2,08:00,down,mixed,0.08,140
2025-11-19,4,16:00,down,mixed,0.07,140
2025-11-19,5,20:00,down,mixed,0.15,140
2025-11-20,0,00:00,up,mixed,0.56,114
2025-11-20,1,04:00,up,mixed,6.69,111
2025-11-20,2,08:00,up,mixed,14.72,111
2025-11-20,3,12:00,up,mixed,12.52,74
2025-11-20,4,16:00,up,mixed,19.41,106
2025-11-20,5,20:00,up,mixed,4.7,114
2025-11-20,0,00:00,down,mixed,1.31,195
2025-11-20,1,04:00,down,mixed,0.07,120
2025-11-20,2,08:00,down,mixed,0.07,140
2025-11-20,4,16:00,down,mixed,0.07,165
2025-11-20,5,20:00,down,mixed,0.13,145
2025-11-21,0,00:00,up,mixed,0.58,119
2025-11-21,1,04:00,up,mixed,6.56,117
2025-11-21,2,08:00,up,mixed,14.97,117
2025-11-21,3,12:00,up,mixed,10.8,93
2025-11-21,4,16:00,up,mixed,19.67,118
2025-11-21,5,20:00,up,mixed,4.72,121
2025-11-21,0,00:00,down,mixed,1.25,190
2025-11-21,1,04:00,down,mixed,0.06,140
2025-11-21,4,16:00,down,mixed,0.06,165
2025-11-21,5,20:00,down,mixed,0.12,145
2025-11-22,0,00:00,up,mixed,0.65,119
2025-11-22,1,04:00,up,mixed,5.85,123
2025-11-22,2,08:00,up,mixed,12.91,145
2025-11-22,3,12:00,up,mixed,8.83,102
2025-11-22,4,16:00,up,mixed,17.32,119
2025-11-22,5,20:00,up,mixed,4.29,145
2025-11-22,0,00:00,down,mixed,1.11,170
2025-11-22,1,04:00,down,mixed,0.05,120
2025-11-22,2,08:00,down,mixed,0.05,100
2025-11-22,3,12:00,down,mixed,0.04,100
2025-11-22,4,16:00,down,mixed,0.05,145
2025-11-22,5,20:00,down,mixed,0.08,100
2025-11-23,0,00:00,up,mixed,0.76,129
2025-11-23,1,04:00,up,mixed,5.12,74
2025-11-23,2,08:00,up,mixed,8.45,96
2025-11-23,3,12:00,up,mixed,7.06,153
2025-11-23,4,16:00,up,mixed,15.51,97
2025-11-23,5,20:00,up,mixed,3.99,118
2025-11-23,0,00:00,down,mixed,0.96,165
2025-11-23,1,04:00,down,mixed,0.04,100
2025-11-23,2,08:00,down,mixed,0.03,100
2025-11-23,4,16:00,down,mixed,0.04,125
2025-11-23,5,20:00,down,mixed,0.07,100
2025-11-24,0,00:00,up,mixed,1.13,125
2025-11-24,1,04:00,up,mixed,5.2,118
2025-11-24,2,08:00,up,mixed,13.12,152
2025-11-24,3,12:00,up,mixed,10.74,155
2025-11-24,4,16:00,up,mixed,33.22,180
2025-11-24,5,20:00,up,mixed,4.39,126
2025-11-24,0,00:00,down,mixed,0.84,145
2025-11-24,1,04:00,down,mixed,0.03,100
2025-11-24,2,08:00,down,mixed,0.02,100
2025-11-24,3,12:00,down,mixed,0.03,100
2025-11-24,4,16:00,down,mixed,0.03,140
2025-11-24,5,20:00,down,mixed,0.05,120
2025-11-25,0,00:00,up,mixed,1.83,139
2025-11-25,1,04:00,up,mixed,6.19,127
2025-11-25,2,08:00,up,mixed,21.09,141
2025-11-25,3,12:00,up,mixed,11.83,128
2025-11-25,4,16:00,up,mixed,50.88,176
2025-11-25,5,20:00,up,mixed,5.56,130
2025-11-25,0,00:00,down,mixed,0.66,165
2025-11-25,1,04:00,down,mixed,0.02,120
2025-11-25,2,08:00,down,mixed,0.02,100
2025-11-25,3,12:00,down,mixed,0.02,120
2025-11-25,4,16:00,down,mixed,0.02,130
2025-11-25,5,20:00,down,mixed,0.03,120
2025-11-26,0,00:00,up,mixed,2.87,146
2025-11-26,1,04:00,up,mixed,10.02,156
2025-11-26,2,08:00,up,mixed,50.36,187
2025-11-26,3,12:00,up,mixed,36.47,190
2025-11-26,4,16:00,up,mixed,81.05,185
2025-11-26,5,20:00,up,mixed,8.84,164
2025-11-26,0,00:00,down,mixed,0.49,165
2025-11-26,1,04:00,down,mixed,0.02,120
2025-11-26,2,08:00,down,mixed,0.02,100
2025-11-26,4,16:00,down,mixed,0.02,105
2025-11-26,5,20:00,down,mixed,0.03,120
2025-11-27,0,00:00,up,mixed,2.81,159
2025-11-27,1,04:00,up,mixed,10.35,191
2025-11-27,2,08:00,up,mixed,37.48,104
2025-11-27,3,12:00,up,mixed,25.04,104
2025-11-27,4,16:00,up,mixed,46.56,91
2025-11-27,5,20:00,up,mixed,7.96,193
2025-11-27,0,00:00,down,mixed,0.42,155
2025-11-27,1,04:00,down,mixed,0.02,120
2025-11-27,2,08:00,down,mixed,0.01,100
2025-11-27,4,16:00,down,mixed,0.01,105
2025-11-27,5,20:00,down,mixed,0.02,100
2025-11-28,0,00:00,up,mixed,2.91,140
2025-11-28,1,04:00,up,mixed,9.49,119
2025-11-28,2,08:00,up,mixed,26.08,94
2025-11-28,3,12:00,up,mixed,19.95,80
2025-11-28,4,16:00,up,mixed,32.08,63
2025-11-28,5,20:00,up,mixed,6.53,99
2025-11-28,0,00:00,down,mixed,0.34,135
2025-11-28,1,04:00,down,mixed,0.02,100
2025-11-28,2,08:00,down,mixed,0.01,100
2025-11-28,4,16:00,down,mixed,0.01,105
2025-11-28,5,20:00,down,mixed,0.02,120
2025-11-29,0,00:00,up,mixed,2.68,145
2025-11-29,1,04:00,up,mixed,7.28,74
2025-11-29,2,08:00,up,mixed,18.59,69
2025-11-29,3,12:00,up,mixed,15.36,59
2025-11-29,4,16:00,up,mixed,22.66,49
2025-11-29,5,20:00,up,mixed,5.18,74
2025-11-29,0,00:00,down,mixed,0.47,150
2025-11-29,1,04:00,down,mixed,0.03,120
2025-11-29,2,08:00,down,mixed,0.01,100
2025-11-29,4,16:00,down,mixed,0.03,120
2025-11-29,5,20:00,down,mixed,0.02,100
